study,year,location,state,cultivar,data_sowing,brand_name,group,active_ingredient,n,mean_sev,mean_inc,mean_yld,mean_index,v_sev,v_inc,v_yld,v_index,yld_check,v_yld_check,sev_check,v_sev_check,inc_check,v_inc_check,index_check,v_index_check,region
1,2012,Dourados,MS,BRS 208,16/03/2012,Abacus,QoI+DMI,PYRA+EPOX,4,69.025,85.9,1142,59.30595000000001,46.056436965811976,73.43053952991453,44629.717948717946,95.10800018096155,1097,44629.717948717946,73.57499999999999,46.056436965811976,93.3,73.43053952991453,68.653275,95.10800018096155,North
1,2012,Dourados,MS,BRS 208,16/03/2012,Azimut,QoI+DMI,AZOX+TEBU,4,66.2,87,1100,57.605225,46.056436965811976,73.43053952991453,44629.717948717946,95.10800018096155,1097,44629.717948717946,73.57499999999999,46.056436965811976,93.3,73.43053952991453,68.653275,95.10800018096155,North
1,2012,Dourados,MS,BRS 208,16/03/2012,check,check,AACHECK,4,73.57499999999999,93.3,1097,68.653275,46.056436965811976,73.43053952991453,44629.717948717946,95.10800018096155,1097,44629.717948717946,73.57499999999999,46.056436965811976,93.3,73.43053952991453,68.653275,95.10800018096155,North
1,2012,Dourados,MS,BRS 208,16/03/2012,Fox,QoI+DMI,TFLX+PROT,4,68.55,84.4,1242,57.725375,46.056436965811976,73.43053952991453,44629.717948717946,95.10800018096155,1097,44629.717948717946,73.57499999999999,46.056436965811976,93.3,73.43053952991453,68.653275,95.10800018096155,North
1,2012,Dourados,MS,BRS 208,16/03/2012,Nativo,QoI+DMI,TFLX+TEBU,4,62.6,77.075,1450,48.279625,46.056436965811976,73.43053952991453,44629.717948717946,95.10800018096155,1097,44629.717948717946,73.57499999999999,46.056436965811976,93.3,73.43053952991453,68.653275,95.10800018096155,North
1,2012,Dourados,MS,BRS 208,16/03/2012,NTX 3900,QoI+DMI,AZOX+TEBU,4,46.875,60.5,1580,28.379375,46.056436965811976,73.43053952991453,44629.717948717946,95.10800018096155,1097,44629.717948717946,73.57499999999999,46.056436965811976,93.3,73.43053952991453,68.653275,95.10800018096155,North
1,2012,Dourados,MS,BRS 208,16/03/2012,Opera,QoI+DMI,PYRA+EPOX,4,55.775,74.175,1488,41.408899999999996,46.056436965811976,73.43053952991453,44629.717948717946,95.10800018096155,1097,44629.717948717946,73.57499999999999,46.056436965811976,93.3,73.43053952991453,68.653275,95.10800018096155,North
1,2012,Dourados,MS,BRS 208,16/03/2012,Tebuco Nortox,DMI,TEBU,4,53.1,67.8,1528,35.998675000000006,46.056436965811976,73.43053952991453,44629.717948717946,95.10800018096155,1097,44629.717948717946,73.57499999999999,46.056436965811976,93.3,73.43053952991453,68.653275,95.10800018096155,North
2,2012,Palotina,PR,BRS 208,15/04/2012,Abacus,QoI+DMI,PYRA+EPOX,4,17.005,32.5,1521.46,4.8479,33.90741079059828,129.8717948717949,29193.260396420963,7.8687110611538404,1219.375,29193.260396420963,28.64,33.90741079059828,40.5,129.8717948717949,11.72585,7.8687110611538404,South
2,2012,Palotina,PR,BRS 208,15/04/2012,Azimut,QoI+DMI,AZOX+TEBU,4,13.99,43,1483.9599999999998,5.99535,33.90741079059828,129.8717948717949,29193.260396420963,7.8687110611538404,1219.375,29193.260396420963,28.64,33.90741079059828,40.5,129.8717948717949,11.72585,7.8687110611538404,South
2,2012,Palotina,PR,BRS 208,15/04/2012,check,check,AACHECK,4,28.64,40.5,1219.375,11.72585,33.90741079059828,129.8717948717949,29193.260396420963,7.8687110611538404,1219.375,29193.260396420963,28.64,33.90741079059828,40.5,129.8717948717949,11.72585,7.8687110611538404,South
2,2012,Palotina,PR,BRS 208,15/04/2012,Fox,QoI+DMI,TFLX+PROT,4,10.6675,55.5,1731.4575,5.8633750000000004,33.90741079059828,129.8717948717949,29193.260396420963,7.8687110611538404,1219.375,29193.260396420963,28.64,33.90741079059828,40.5,129.8717948717949,11.72585,7.8687110611538404,South
2,2012,Palotina,PR,BRS 208,15/04/2012,Nativo,QoI+DMI,TFLX+TEBU,4,17.945,40.25,1540.0825,7.564649999999999,33.90741079059828,129.8717948717949,29193.260396420963,7.8687110611538404,1219.375,29193.260396420963,28.64,33.90741079059828,40.5,129.8717948717949,11.72585,7.8687110611538404,South
2,2012,Palotina,PR,BRS 208,15/04/2012,NTX 3900,QoI+DMI,AZOX+TEBU,4,10.467500000000001,50.5,1627.0825,5.70605,33.90741079059828,129.8717948717949,29193.260396420963,7.8687110611538404,1219.375,29193.260396420963,28.64,33.90741079059828,40.5,129.8717948717949,11.72585,7.8687110611538404,South
2,2012,Palotina,PR,BRS 208,15/04/2012,Opera,QoI+DMI,PYRA+EPOX,4,16.1225,32.5,1585.625,5.2793,33.90741079059828,129.8717948717949,29193.260396420963,7.8687110611538404,1219.375,29193.260396420963,28.64,33.90741079059828,40.5,129.8717948717949,11.72585,7.8687110611538404,South
2,2012,Palotina,PR,BRS 208,15/04/2012,Tebuco Nortox,DMI,TEBU,4,18.06,41.5,1570.835,7.8837,33.90741079059828,129.8717948717949,29193.260396420963,7.8687110611538404,1219.375,29193.260396420963,28.64,33.90741079059828,40.5,129.8717948717949,11.72585,7.8687110611538404,South
3,2012,Londrina,PR,MARFIM,07/04/2012,Abacus,QoI+DMI,PYRA+EPOX,4,76.425,92.5,722.2175,70.98662499999999,43.53454470401552,38.89709194264855,10827.296808615109,70.31377916199531,495.1225,10827.296808615109,92.8625,43.53454470401552,100,38.89709194264855,92.8625,70.31377916199531,South
3,2012,Londrina,PR,MARFIM,07/04/2012,Azimut,QoI+DMI,AZOX+TEBU,4,59.1,81.5,1007.21,48.709875000000004,43.53454470401552,38.89709194264855,10827.296808615109,70.31377916199531,495.1225,10827.296808615109,92.8625,43.53454470401552,100,38.89709194264855,92.8625,70.31377916199531,South
3,2012,Londrina,PR,MARFIM,07/04/2012,check,check,AACHECK,4,92.8625,100,495.1225,92.8625,43.53454470401552,38.89709194264855,10827.296808615109,70.31377916199531,495.1225,10827.296808615109,92.8625,43.53454470401552,100,38.89709194264855,92.8625,70.31377916199531,South
3,2012,Londrina,PR,MARFIM,07/04/2012,Fox,QoI+DMI,TFLX+PROT,4,60.025,89,885.4,53.3825,43.53454470401552,38.89709194264855,10827.296808615109,70.31377916199531,495.1225,10827.296808615109,92.8625,43.53454470401552,100,38.89709194264855,92.8625,70.31377916199531,South
3,2012,Londrina,PR,MARFIM,07/04/2012,Nativo,QoI+DMI,TFLX+TEBU,4,52.9875,70.5,933.99,38.30375,43.53454470401552,38.89709194264855,10827.296808615109,70.31377916199531,495.1225,10827.296808615109,92.8625,43.53454470401552,100,38.89709194264855,92.8625,70.31377916199531,South
3,2012,Londrina,PR,MARFIM,07/04/2012,NTX 3900,QoI+DMI,AZOX+TEBU,4,58.087500000000006,81.25,963.3299999999999,47.72825,43.53454470401552,38.89709194264855,10827.296808615109,70.31377916199531,495.1225,10827.296808615109,92.8625,43.53454470401552,100,38.89709194264855,92.8625,70.31377916199531,South
3,2012,Londrina,PR,MARFIM,07/04/2012,Opera,QoI+DMI,PYRA+EPOX,4,74.9,89.75,742.42,67.562375,43.53454470401552,38.89709194264855,10827.296808615109,70.31377916199531,495.1225,10827.296808615109,92.8625,43.53454470401552,100,38.89709194264855,92.8625,70.31377916199531,South
3,2012,Londrina,PR,MARFIM,07/04/2012,Tebuco Nortox,DMI,TEBU,4,57.2375,78.25,1022.31,44.877125,43.53454470401552,38.89709194264855,10827.296808615109,70.31377916199531,495.1225,10827.296808615109,92.8625,43.53454470401552,100,38.89709194264855,92.8625,70.31377916199531,South
4,2012,Planaltina,DF,BRS 208,09/03/2012,Abacus,QoI+DMI,PYRA+EPOX,4,NA,NA,NA,NA,26.209034090909086,87.03977272727275,183253.98623934665,7.489586227272728,1747.4375,183253.98623934665,16.05,26.209034090909086,35.5,87.03977272727275,6.3645000000000005,7.489586227272728,North
